Date,LLY_PE_FY1,UNH_PE_FY1,JNJ_PE_FY1,ABBV_PE_FY1,MRK_PE_FY1,TMO_PE_FY1,ABT_PE_FY1,DHR_PE_FY1,ISRG_PE_FY1,AMGN_PE_FY1,PFE_PE_FY1,BSX_PE_FY1,SYK_PE_FY1,VRTX_PE_FY1,ELV_PE_FY1,MDT_PE_FY1,REGN_PE_FY1,BMY_PE_FY1,GILD_PE_FY1,CI_PE_FY1,ZTS_PE_FY1,CVS_PE_FY1,HCA_PE_FY1,BDX_PE_FY1,MCK_PE_FY1,A_PE_FY1,GEHC_PE_FY1,IQV_PE_FY1
2014-11-03,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-04,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-05,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-06,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-07,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-10,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-11,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-12,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-13,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-14,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-17,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-18,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-19,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-20,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-21,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-24,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-25,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-26,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-11-28,23.880968,16.841047,18.086098,19.650757,16.635607,17.000492,19.282892,16.506065,33.706482,18.941896,12.624261,16.093067,18.426153,,14.347692,16.83152,38.57076,32.376717,14.137809,13.449336,24.336275,19.10072,15.535313,20.649652,18.77404,18.072739,,22.063438
2014-12-01,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-02,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-03,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-04,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-05,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-08,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-09,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-10,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-11,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-12,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-15,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-16,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-17,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-18,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-19,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-22,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-23,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
2014-12-24,24.542257,17.483538,18.162752,21.005392,17.325886,18.696781,19.710081,17.152842,35.2015,19.28845,13.088971,15.588662,19.560083,,14.48511,18.251207,41.440308,32.8125,12.642679,13.889604,29.389303,20.376028,15.45867,20.77665,19.45809,24.62042,,21.77048
