Date,IDXX_PE_FY1,EW_PE_FY1,COR_PE_FY1,CNC_PE_FY1,RMD_PE_FY1,MTD_PE_FY1,HUM_PE_FY1,BIIB_PE_FY1,DXCM_PE_FY1,CAH_PE_FY1,STE_PE_FY1,WST_PE_FY1,ZBH_PE_FY1,COO_PE_FY1,MRNA_PE_FY1,WAT_PE_FY1,MOH_PE_FY1,BAX_PE_FY1,HOLX_PE_FY1,LH_PE_FY1,DGX_PE_FY1,ALGN_PE_FY1,PODD_PE_FY1,RVTY_PE_FY1,VTRS_PE_FY1,UHS_PE_FY1,TECH_PE_FY1,TFX_PE_FY1,CTLT_PE_FY1,INCY_PE_FY1,CRL_PE_FY1,SOLV_PE_FY1,HSIC_PE_FY1,DVA_PE_FY1
2014-11-03,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-04,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-05,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-06,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-07,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-10,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-11,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-12,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-13,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-14,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-17,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-18,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-19,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-20,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-21,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-24,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-25,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-26,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-11-28,37.54505,35.717518,19.217365,21.295866,20.335989,22.337162,17.897131,21.912361,,18.444534,21.533102,28.419594,18.360783,22.241127,,20.5601,34.846092,7.77938,17.945185,16.13598,15.614569,29.551836,,18.08884,15.271539,18.12107,25.117243,20.031595,14.648284,,18.792295,,22.330936,21.623178
2014-12-01,39.58039,38.305054,20.356892,22.494585,20.703775,25.186235,18.147078,20.968233,,19.274475,21.95752,28.841036,18.531906,22.950768,,21.489668,38.352608,8.127641,17.522367,15.43698,16.063847,31.951334,,18.942875,16.627342,18.255922,25.28335,20.914516,16.119822,,19.23989,,25.486475,21.306078
2014-12-02,39.58039,38.305054,20.356892,22.494585,20.703775,25.186235,18.147078,20.968233,,19.274475,21.95752,28.841036,18.531906,22.950768,,21.489668,38.352608,8.127641,17.522367,15.43698,16.063847,31.951334,,18.942875,16.627342,18.255922,25.28335,20.914516,16.119822,,19.23989,,25.486475,21.306078
2014-12-03,39.58039,38.305054,20.356892,22.494585,20.703775,25.186235,18.147078,20.968233,,19.274475,21.95752,28.841036,18.531906,22.950768,,21.489668,38.352608,8.127641,17.522367,15.43698,16.063847,31.951334,,18.942875,16.627342,18.255922,25.28335,20.914516,16.119822,,19.23989,,25.486475,21.306078
2014-12-04,39.58039,38.305054,20.356892,22.494585,20.703775,25.186235,18.147078,20.968233,,19.274475,21.95752,28.841036,18.531906,22.950768,,21.489668,38.352608,8.127641,17.522367,15.43698,16.063847,31.951334,,18.942875,16.627342,18.255922,25.28335,20.914516,16.119822,,19.23989,,25.486475,21.306078
2014-12-05,39.58039,38.305054,20.356892,22.494585,20.703775,25.186235,18.147078,20.968233,,19.274475,21.95752,28.841036,18.531906,22.950768,,21.489668,38.352608,8.127641,17.522367,15.43698,16.063847,31.951334,,18.942875,16.627342,18.255922,25.28335,20.914516,16.119822,,19.23989,,25.486475,21.306078
2014-12-08,39.58039,38.305054,20.356892,22.494585,20.703775,25.186235,18.147078,20.968233,,19.274475,21.95752,28.841036,18.531906,22.950768,,21.489668,38.352608,8.127641,17.522367,15.43698,16.063847,31.951334,,18.942875,16.627342,18.255922,25.28335,20.914516,16.119822,,19.23989,,25.486475,21.306078
2014-12-09,39.58039,38.305054,20.356892,22.494585,20.703775,25.186235,18.147078,20.968233,,19.274475,21.95752,28.841036,18.531906,22.950768,,21.489668,38.352608,8.127641,17.522367,15.43698,16.063847,31.951334,,18.942875,16.627342,18.255922,25.28335,20.914516,16.119822,,19.23989,,25.486475,21.306078
2014-12-10,39.58039,38.305054,20.356892,22.494585,20.703775,25.186235,18.147078,20.968233,,19.274475,21.95752,28.841036,18.531906,22.950768,,21.489668,38.352608,8.127641,17.522367,15.43698,16.063847,31.951334,,18.942875,16.627342,18.255922,25.28335,20.914516,16.119822,,19.23989,,25.486475,21.306078
2014-12-11,39.58039,38.305054,20.356892,22.494585,20.703775,25.186235,18.147078,20.968233,,19.274475,21.95752,28.841036,18.531906,22.950768,,21.489668,38.352608,8.127641,17.522367,15.43698,16.063847,31.951334,,18.942875,16.627342,18.255922,25.28335,20.914516,16.119822,,19.23989,,25.486475,21.306078
2014-12-12,39.58039,38.305054,20.356892,22.494585,20.703775,25.186235,18.147078,20.968233,,19.274475,21.95752,28.841036,18.531906,22.950768,,21.489668,38.352608,8.127641,17.522367,15.43698,16.063847,31.951334,,18.942875,16.627342,18.255922,25.28335,20.914516,16.119822,,19.23989,,25.486475,21.306078
2014-12-15,39.58039,38.305054,20.356892,22.494585,20.703775,25.186235,18.147078,20.968233,,19.274475,21.95752,28.841036,18.531906,22.950768,,21.489668,38.352608,8.127641,17.522367,15.43698,16.063847,31.951334,,18.942875,16.627342,18.255922,25.28335,20.914516,16.119822,,19.23989,,25.486475,21.306078
