Date,Total Assets,Distribution
2015-12-02,9868.53254699707,"{'GILD': 1818.8397216796875, 'BIIB': 1994.7199401855469, 'CTLT': 1765.1199951171873, 'UHS': 1776.815185546875, 'CNC': 1829.620014190674, 'cash': 683.4176902770996}"
2015-12-03,9561.069248199463,"{'GILD': 1765.5499877929688, 'BIIB': 1928.0800170898438, 'CTLT': 1714.56005859375, 'UHS': 1707.7314376831057, 'CNC': 1761.7300567626953, 'cash': 683.4176902770996}"
2015-12-04,9802.32943725586,"{'GILD': 1812.3966064453125, 'BIIB': 1991.1500854492188, 'CTLT': 1769.5999755859377, 'UHS': 1726.3751220703125, 'CNC': 1819.3899574279783, 'cash': 683.4176902770996}"
2015-12-07,9658.81914138794,"{'GILD': 1792.194580078125, 'BIIB': 1971.4100341796875, 'CTLT': 1729.280029296875, 'UHS': 1692.2668075561523, 'CNC': 1790.25, 'cash': 683.4176902770996}"
2015-12-08,9754.601650238037,"{'GILD': 1802.9928588867188, 'BIIB': 2019.2199401855469, 'CTLT': 1731.199951171875, 'UHS': 1738.3711624145508, 'CNC': 1779.400047302246, 'cash': 683.4176902770996}"
2015-12-09,9589.58293914795,"{'GILD': 1775.4768676757812, 'BIIB': 1992.2698974609375, 'CTLT': 1639.0400390624998, 'UHS': 1716.2584304809573, 'CNC': 1783.120014190674, 'cash': 683.4176902770996}"
2015-12-10,9714.219165802002,"{'GILD': 1787.1447143554688, 'BIIB': 2029.1600341796875, 'CTLT': 1682.56005859375, 'UHS': 1750.3666305541992, 'CNC': 1781.5700378417966, 'cash': 683.4176902770996}"
2015-12-11,9561.679710388184,"{'GILD': 1742.0388793945312, 'BIIB': 1984.2199401855469, 'CTLT': 1662.0799560546873, 'UHS': 1726.9532775878906, 'CNC': 1762.9699668884277, 'cash': 683.4176902770996}"
2015-12-14,9509.858856201172,"{'GILD': 1757.6050415039062, 'BIIB': 1976.7301025390625, 'CTLT': 1652.47998046875, 'UHS': 1678.8260650634766, 'CNC': 1760.7999763488772, 'cash': 683.4176902770996}"
2015-12-15,9704.098148345947,"{'GILD': 1783.4913940429688, 'BIIB': 2023.7698974609375, 'CTLT': 1683.199951171875, 'UHS': 1709.8991775512693, 'CNC': 1820.3200378417966, 'cash': 683.4176902770996}"
2015-12-16,9874.283798217773,"{'GILD': 1807.4533081054688, 'BIIB': 2095.030059814453, 'CTLT': 1698.56005859375, 'UHS': 1687.3527145385742, 'CNC': 1902.4699668884277, 'cash': 683.4176902770996}"
2015-12-17,9836.868213653564,"{'GILD': 1790.3128051757812, 'BIIB': 2080.1900939941406, 'CTLT': 1687.0400390624998, 'UHS': 1678.2475662231443, 'CNC': 1917.6600189208984, 'cash': 683.4176902770996}"
2015-12-18,9793.639553070068,"{'GILD': 1777.0193481445312, 'BIIB': 2053.5899658203125, 'CTLT': 1610.8800048828125, 'UHS': 1661.4825439453125, 'CNC': 2007.25, 'cash': 683.4176902770996}"
2015-12-21,9916.627696990967,"{'GILD': 1795.0350952148438, 'BIIB': 2082.919982910156, 'CTLT': 1612.1600341796875, 'UHS': 1721.8949890136719, 'CNC': 2021.1999053955078, 'cash': 683.4176902770996}"
2015-12-22,9910.25036239624,"{'GILD': 1799.0579223632812, 'BIIB': 2105.389923095703, 'CTLT': 1600.6400146484377, 'UHS': 1702.0947647094727, 'CNC': 2019.650047302246, 'cash': 683.4176902770996}"
2015-12-23,9980.975032806396,"{'GILD': 1803.9552612304688, 'BIIB': 2101.3300170898438, 'CTLT': 1602.56005859375, 'UHS': 1750.2219772338867, 'CNC': 2039.4900283813477, 'cash': 683.4176902770996}"
2015-12-24,9984.142848968506,"{'GILD': 1811.6511840820312, 'BIIB': 2116.030059814453, 'CTLT': 1596.800048828125, 'UHS': 1743.573875427246, 'CNC': 2032.6699905395508, 'cash': 683.4176902770996}"
2015-12-28,9965.346820831299,"{'GILD': 1778.419189453125, 'BIIB': 2126.8799743652344, 'CTLT': 1603.8399658203125, 'UHS': 1724.930076599121, 'CNC': 2047.8599243164062, 'cash': 683.4176902770996}"
2015-12-29,10104.808925628662,"{'GILD': 1807.8030395507812, 'BIIB': 2167.6900939941406, 'CTLT': 1622.4000244140625, 'UHS': 1754.5581436157227, 'CNC': 2068.9399337768555, 'cash': 683.4176902770996}"
2015-12-30,10037.415256500244,"{'GILD': 1786.8145751953125, 'BIIB': 2158.3799743652344, 'CTLT': 1619.199951171875, 'UHS': 1734.613037109375, 'CNC': 2054.9900283813477, 'cash': 683.4176902770996}"
2015-12-31,9966.6999168396,"{'GILD': 1769.8489379882812, 'BIIB': 2144.4500427246094, 'CTLT': 1601.9200439453125, 'UHS': 1726.9532775878906, 'CNC': 2040.1099243164062, 'cash': 683.4176902770996}"
2016-01-04,9772.139568328857,"{'GILD': 1714.2293701171875, 'BIIB': 2062.3399658203125, 'CTLT': 1560.9599609375002, 'UHS': 1704.262619018555, 'CNC': 2046.9299621582031, 'cash': 683.4176902770996}"
2016-01-05,9897.553928375244,"{'GILD': 1736.092529296875, 'BIIB': 2076.9000854492188, 'CTLT': 1613.43994140625, 'UHS': 1711.633644104004, 'CNC': 2076.070037841797, 'cash': 683.4176902770996}"
2016-01-06,9801.107685089111,"{'GILD': 1754.2825927734375, 'BIIB': 2055.7599487304688, 'CTLT': 1590.4000244140625, 'UHS': 1672.177391052246, 'CNC': 2045.0700378417969, 'cash': 683.4176902770996}"
2016-01-07,9509.954158782959,"{'GILD': 1683.4462280273438, 'BIIB': 1988.070068359375, 'CTLT': 1552.6400146484377, 'UHS': 1631.7101669311523, 'CNC': 1970.6699905395508, 'cash': 683.4176902770996}"
2016-01-08,9451.01668548584,"{'GILD': 1686.9446411132812, 'BIIB': 1964.1299743652344, 'CTLT': 1553.280029296875, 'UHS': 1624.1943740844727, 'CNC': 1939.0499763488772, 'cash': 683.4176902770996}"
2016-01-11,9412.693294525146,"{'GILD': 1687.8191528320312, 'BIIB': 1949.7800598144531, 'CTLT': 1552.0, 'UHS': 1654.2564010620117, 'CNC': 1885.4199905395508, 'cash': 683.4176902770996}"
2016-01-12,9498.179721832275,"{'GILD': 1698.3132934570312, 'BIIB': 1950.6900939941406, 'CTLT': 1588.47998046875, 'UHS': 1623.0386352539065, 'CNC': 1954.2400283813477, 'cash': 683.4176902770996}"
2016-01-13,9174.974418640137,"{'GILD': 1618.55712890625, 'BIIB': 1870.75, 'CTLT': 1526.4000244140625, 'UHS': 1576.789627075195, 'CNC': 1899.0599479675293, 'cash': 683.4176902770996}"
2016-01-14,9382.151950836182,"{'GILD': 1626.952880859375, 'BIIB': 1963.9900512695312, 'CTLT': 1560.9599609375002, 'UHS': 1606.8513107299807, 'CNC': 1939.9800567626953, 'cash': 683.4176902770996}"
2016-01-15,9224.892967224121,"{'GILD': 1606.3137817382812, 'BIIB': 1913.3099060058594, 'CTLT': 1555.8399658203125, 'UHS': 1577.8016281127927, 'CNC': 1888.2099952697752, 'cash': 683.4176902770996}"
2016-01-19,9165.226997375488,"{'GILD': 1572.3825073242188, 'BIIB': 1888.9500427246094, 'CTLT': 1530.8800048828125, 'UHS': 1551.7868041992185, 'CNC': 1937.8099479675293, 'cash': 683.4176902770996}"
2016-01-20,9180.714740753174,"{'GILD': 1583.7515258789062, 'BIIB': 1885.4500427246094, 'CTLT': 1537.280029296875, 'UHS': 1552.075424194336, 'CNC': 1938.7400283813477, 'cash': 683.4176902770996}"
2016-01-21,8951.912128448486,"{'GILD': 1554.3680419921875, 'BIIB': 1834.5599060058594, 'CTLT': 1481.5999755859377, 'UHS': 1545.7165145874023, 'CNC': 1852.25, 'cash': 683.4176902770996}"
2016-01-22,9200.461517333984,"{'GILD': 1606.1390991210938, 'BIIB': 1882.4400939941406, 'CTLT': 1518.719970703125, 'UHS': 1553.9546585083008, 'CNC': 1955.7900047302246, 'cash': 683.4176902770996}"
2016-01-25,9066.999168395996,"{'GILD': 1584.8014526367188, 'BIIB': 1834.7000427246094, 'CTLT': 1493.760009765625, 'UHS': 1567.539939880371, 'CNC': 1902.7800331115723, 'cash': 683.4176902770996}"
2016-01-26,9096.240661621094,"{'GILD': 1612.78564453125, 'BIIB': 1819.0899658203125, 'CTLT': 1504.0, 'UHS': 1617.257308959961, 'CNC': 1859.6900520324707, 'cash': 683.4176902770996}"
2016-01-27,9155.784484863281,"{'GILD': 1567.660400390625, 'BIIB': 1912.820068359375, 'CTLT': 1469.43994140625, 'UHS': 1605.4063796997073, 'CNC': 1917.0400047302246, 'cash': 683.4176902770996}"
2016-01-28,8905.898357391357,"{'GILD': 1913.6630630493164, 'CTLT': 1775.91996383667, 'UHS': 1977.4951019287112, 'CNC': 2184.109954833985, 'HUM': 450.0592346191406, 'cash': 604.6510391235352}"
2016-01-29,9094.946985244751,"{'GILD': 1814.6240615844727, 'CTLT': 1858.8700542449951, 'UHS': 2062.072731018066, 'CNC': 2296.2200508117676, 'HUM': 458.50904846191406, 'cash': 604.6510391235352}"
2016-02-01,9196.940023422241,"{'GILD': 1898.8325424194336, 'CTLT': 1869.4799938201902, 'UHS': 2217.4302673339844, 'CNC': 2384.625005722046, 'ABBV': 37.83097076416016, 'cash': 788.7412433624268}"
2016-02-02,8980.893245697021,"{'GILD': 1868.5600509643555, 'CTLT': 1844.3700370788574, 'UHS': 2160.196990966797, 'CNC': 2281.500005722046, 'ABBV': 37.52491760253906, 'cash': 788.7412433624268}"
2016-02-03,9016.59992980957,"{'GILD': 1951.6970596313477, 'CTLT': 1838.7000617980957, 'UHS': 2150.176544189453, 'CNC': 2247.7499485015865, 'ABBV': 39.53507232666016, 'cash': 788.7412433624268}"
2016-02-04,9002.424951553345,"{'GILD': 1958.2493667602537, 'CTLT': 1798.2000617980957, 'UHS': 2155.3797912597656, 'CNC': 2262.375068664551, 'ABBV': 39.47941970825195, 'cash': 788.7412433624268}"
2016-02-05,8743.956659317017,"{'GILD': 1923.457618713379, 'CTLT': 1756.0800247192383, 'UHS': 2101.2301635742188, 'CNC': 2137.5, 'ABBV': 36.94760894775391, 'cash': 788.7412433624268}"
2016-02-08,8496.56337928772,"{'GILD': 1926.169101715088, 'CTLT': 1717.2000617980957, 'UHS': 2013.1652832031248, 'CNC': 2014.500045776367, 'ABBV': 36.78764343261719, 'cash': 788.7412433624268}"
2016-02-09,8610.659215927124,"{'GILD': 1971.1263389587402, 'CTLT': 1698.5699443817136, 'UHS': 2033.3987426757812, 'CNC': 2081.624937057495, 'ABBV': 37.1980094909668, 'cash': 788.7412433624268}"
2016-02-10,8657.63921546936,"{'GILD': 2367.465347290039, 'UHS': 2520.3197021484375, 'CNC': 2388.1500663757324, 'ABBV': 366.6939926147461, 'HUM': 453.6645812988281, 'cash': 561.3455257415771}"
2016-02-11,8412.364980697632,"{'GILD': 2419.265106201172, 'UHS': 2448.528289794922, 'CNC': 2390.5400543212886, 'ABBV': 399.231803894043, 'CAH': 58.99930953979492, 'cash': 695.8004169464111}"
2016-02-12,8542.116891860962,"{'GILD': 2476.8675537109375, 'UHS': 2511.398696899414, 'CNC': 2395.4350814819336, 'ABBV': 402.29232025146484, 'CAH': 60.32282257080078, 'cash': 695.8004169464111}"
2016-02-16,8700.350702285767,"{'GILD': 2524.2223052978516, 'UHS': 2555.7186126708984, 'CNC': 2454.1750679016113, 'ABBV': 409.40767669677734, 'CAH': 61.0266227722168, 'cash': 695.8004169464111}"
2016-02-17,8812.602714538574,"{'GILD': 2474.652297973633, 'UHS': 2595.2234268188477, 'CNC': 2564.089952468872, 'ABBV': 420.88427734375, 'CAH': 61.95234298706055, 'cash': 695.8004169464111}"
2016-02-18,8713.08542060852,"{'GILD': 2464.40576171875, 'UHS': 2585.10684967041, 'CNC': 2488.4399185180664, 'ABBV': 417.3648681640625, 'CAH': 61.96760559082031, 'cash': 695.8004169464111}"
2016-02-19,8638.28771018982,"{'GILD': 2421.481666564941, 'UHS': 2577.1574020385738, 'CNC': 2466.6350135803223, 'ABBV': 415.3756332397461, 'CAH': 61.83757781982422, 'cash': 695.8004169464111}"
2016-02-22,8867.445825576782,"{'GILD': 2467.4513397216797, 'UHS': 2650.384521484375, 'CNC': 2568.5400543212886, 'ABBV': 422.94996643066406, 'CAH': 62.31952667236328, 'cash': 695.8004169464111}"
2016-02-23,8811.834432601929,"{'GILD': 2446.6819763183594, 'UHS': 2643.158149719238, 'CNC': 2542.7299728393555, 'ABBV': 421.3432960510254, 'CAH': 62.12062072753906, 'cash': 695.8004169464111}"
2016-02-24,8867.33395767212,"{'GILD': 2474.652297973633, 'UHS': 2665.5603408813477, 'CNC': 2548.515020370484, 'ABBV': 419.96611404418945, 'CAH': 62.83976745605469, 'cash': 695.8004169464111}"
2016-02-25,8925.530071258545,"{'GILD': 2496.8057250976562, 'UHS': 2680.494689941406, 'CNC': 2559.1949253082275, 'ABBV': 429.9890785217285, 'CAH': 63.245235443115234, 'cash': 695.8004169464111}"
2016-02-26,8926.86841392517,"{'GILD': 2439.7578887939453, 'UHS': 2732.5706481933594, 'CNC': 2566.7600135803223, 'ABBV': 428.4588203430176, 'CAH': 63.520626068115234, 'cash': 695.8004169464111}"
2016-02-29,8788.032388687134,"{'GILD': 2416.219383239746, 'UHS': 2660.9655380249023, 'CNC': 2534.719959259033, 'ABBV': 417.8239288330078, 'CAH': 62.5031623840332, 'cash': 695.8004169464111}"
2016-03-01,9018.871971130371,"{'GILD': 2483.7896118164062, 'UHS': 2742.455863952637, 'CNC': 2602.3599796295166, 'ABBV': 431.0602340698242, 'CAH': 63.40586471557617, 'cash': 695.8004169464111}"
2016-03-02,9059.955501556396,"{'GILD': 2459.1446380615234, 'UHS': 2781.2719345092773, 'CNC': 2633.9549388885493, 'ABBV': 426.1634750366211, 'CAH': 63.62009811401367, 'cash': 695.8004169464111}"
2016-03-03,9137.075345993042,"{'GILD': 2432.2809295654297, 'UHS': 2832.8664779663086, 'CNC': 2684.2399864196777, 'ABBV': 427.92317962646484, 'CAH': 63.96435546875, 'cash': 695.8004169464111}"
2016-03-04,9004.393926620483,"{'GILD': 2415.1120452880864, 'UHS': 2785.6121063232417, 'CNC': 2614.375, 'ABBV': 429.6065139770508, 'CAH': 63.88784408569336, 'cash': 695.8004169464111}"
2016-03-07,9031.510883331299,"{'GILD': 2482.6829986572266, 'UHS': 2757.8857421875, 'CNC': 2599.2449932098384, 'ABBV': 431.5192527770996, 'CAH': 64.37747955322266, 'cash': 695.8004169464111}"
2016-03-08,8881.594123840332,"{'GILD': 2455.267578125, 'UHS': 2695.924377441406, 'CNC': 2548.0699253082275, 'ABBV': 423.2559928894043, 'CAH': 63.27583312988281, 'cash': 695.8004169464111}"
2016-03-09,8935.449460983276,"{'GILD': 2432.2809295654297, 'UHS': 2724.614906311035, 'CNC': 2587.6750679016113, 'ABBV': 431.442756652832, 'CAH': 63.63538360595703, 'cash': 695.8004169464111}"
2016-03-10,8944.317041397095,"{'GILD': 2454.712677001953, 'UHS': 2723.1679916381836, 'CNC': 2577.4399185180664, 'ABBV': 430.21856689453125, 'CAH': 62.97747039794922, 'cash': 695.8004169464111}"
2016-03-11,9173.39299583435,"{'GILD': 2482.6829986572266, 'UHS': 2789.228630065918, 'CNC': 2699.8149185180664, 'ABBV': 441.695125579834, 'CAH': 64.17090606689453, 'cash': 695.8004169464111}"
2016-03-14,9167.553787231445,"{'GILD': 2517.1871795654297, 'UHS': 2781.99520111084, 'CNC': 2670.890020370484, 'ABBV': 437.71661376953125, 'CAH': 63.96435546875, 'cash': 695.8004169464111}"
2016-03-15,8979.597610473633,"{'GILD': 2488.805465698242, 'UHS': 2702.433776855469, 'CNC': 2605.474966049195, 'ABBV': 425.5514221191407, 'CAH': 61.53156280517578, 'cash': 695.8004169464111}"
2016-03-16,9025.811992645264,"{'GILD': 2512.179153442383, 'UHS': 2741.7325973510738, 'CNC': 2583.224966049195, 'ABBV': 430.8307456970215, 'CAH': 62.04411315917969, 'cash': 695.8004169464111}"
2016-03-17,8913.593393325806,"{'GILD': 2491.3088989257812, 'UHS': 2742.2143936157227, 'CNC': 2500.0100135803223, 'ABBV': 423.2559928894043, 'CAH': 61.00367736816406, 'cash': 695.8004169464111}"
2016-03-18,9119.78497505188,"{'GILD': 2511.9005432128906, 'UHS': 2812.3735427856445, 'CNC': 2605.030040740967, 'ABBV': 432.81989669799805, 'CAH': 61.86053466796875, 'cash': 695.8004169464111}"
2016-03-21,9156.391563415527,"{'GILD': 2578.68408203125, 'UHS': 2811.408805847168, 'CNC': 2580.1099796295166, 'ABBV': 428.535400390625, 'CAH': 61.85287857055664, 'cash': 695.8004169464111}"
2016-03-22,9359.49921798706,"{'GILD': 2607.9024963378906, 'UHS': 2866.8607711791988, 'CNC': 2686.910047531128, 'ABBV': 439.93546295166016, 'CAH': 62.09002304077149, 'cash': 695.8004169464111}"
2016-03-23,9345.827880859375,"{'GILD': 2506.613327026367, 'UHS': 2859.8690032958984, 'CNC': 2790.1500339508057, 'ABBV': 431.2132682800293, 'CAH': 62.18183135986328, 'cash': 695.8004169464111}"
2016-03-24,9408.701583862305,"{'GILD': 2541.1180877685547, 'UHS': 2842.7513122558594, 'CNC': 2837.3199253082275, 'ABBV': 429.3769836425781, 'CAH': 62.33485794067383, 'cash': 695.8004169464111}"
2016-03-28,9408.735315322876,"{'GILD': 2572.8405151367188, 'UHS': 2872.647476196289, 'CNC': 2776.3549728393555, 'ABBV': 429.30027770996094, 'CAH': 61.79165649414063, 'cash': 695.8004169464111}"
2016-03-29,9533.601175308228,"{'GILD': 2565.6050567626953, 'UHS': 2987.408447265625, 'CNC': 2785.6999320983887, 'ABBV': 436.49238204956055, 'CAH': 62.59494018554688, 'cash': 695.8004169464111}"
2016-03-30,9555.092233657837,"{'GILD': 2559.206298828125, 'UHS': 3021.6440200805664, 'CNC': 2779.469959259033, 'ABBV': 436.10985946655273, 'CAH': 62.86167907714844, 'cash': 695.8004169464111}"
2016-03-31,9498.76784324646,"{'GILD': 2556.1453552246094, 'UHS': 3006.9368362426762, 'CNC': 2739.8649864196777, 'ABBV': 437.0278968811035, 'CAH': 62.99235153198242, 'cash': 695.8004169464111}"
2016-04-01,9590.057786941528,"{'GILD': 2619.034149169922, 'UHS': 3023.091125488281, 'CNC': 2749.655040740967, 'ABBV': 439.32328414917, 'CAH': 63.153770446777344, 'cash': 695.8004169464111}"
2016-04-04,9572.677965164185,"{'GILD': 2622.372833251953, 'UHS': 3005.7315826416016, 'CNC': 2731.8549728393555, 'ABBV': 453.0187759399414, 'CAH': 63.89938354492188, 'cash': 695.8004169464111}"
2016-04-05,9521.362705230713,"{'GILD': 2659.3810272216797, 'UHS': 2957.7533721923833, 'CNC': 2698.035047531128, 'ABBV': 447.8924446105957, 'CAH': 62.500396728515625, 'cash': 695.8004169464111}"
2016-04-06,9659.663732528687,"{'GILD': 2711.416488647461, 'UHS': 2994.641304016113, 'CNC': 2734.969959259033, 'ABBV': 458.22135162353516, 'CAH': 64.61421203613281, 'cash': 695.8004169464111}"
2016-04-07,9595.145383834839,"{'GILD': 2659.3810272216797, 'UHS': 2966.4331436157227, 'CNC': 2755.4399185180664, 'ABBV': 453.7072410583496, 'CAH': 64.38363647460938, 'cash': 695.8004169464111}"
